Tanggal Order;Channel;Kategori Channel;Cust;Kab/Kota;Provinsi;Pesanan;Kategori;Produk;Qty;Harga Jual;Harga setelah diskon;Total Diskon;Total Penjualan;Total;Anomaly_Flags;Is_Anomaly;Expected_Total_Penjualan;Expected_Total_Diskon;Duplicate_Group_Size;Sheet
07/02/2023;Shopee;End User;niichanxx;MALANG;JAWA TIMUR;DKS Lemontea;Dks Lemontea;Dupa Stik;1;20000;20000;0;20000;20000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
09/02/2023;Shopee;End User;vavaananta;YOGYAKARTA;D.I YOGYAKARTA;DKS Melati;Dks Melati;Dupa Stik;2;18200;18200;0;36400;36400;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
09/02/2023;Shopee;End User;mekel.69;JAKARTA PUSAT;DKI JAKARTA;DKS Gaharu;Dks Gaharu;Dupa Stik;1;22750;22750;0;22750;22750;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
09/02/2023;Shopee;End User;mekel.69;JAKARTA PUSAT;DKI JAKARTA;DKS Abdi Dalem;Dks Abdi Dalem;Dupa Stik;1;22750;22750;0;22750;22750;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
09/02/2023;Shopee;End User;mekel.69;JAKARTA PUSAT;DKI JAKARTA;DKS Melati;Dks Melati;Dupa Stik;1;18200;18200;0;18200;18200;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
12/02/2023;Shopee;End User;elsafilzahs;SURABAYA;JAWA TIMUR;DKS Cendana;Dks Cendana;Dupa Stik;1;18200;18200;0;18200;18200;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
12/02/2023;Shopee;End User;elsafilzahs;SURABAYA;JAWA TIMUR;DKS Melati;Dks Melati;Dupa Stik;1;18200;18200;0;18200;18200;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
12/02/2023;Shopee;End User;elsafilzahs;SURABAYA;JAWA TIMUR;DKS Vanilla;Dks Vanilla;Dupa Stik;1;20000;20000;0;20000;20000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
12/02/2023;Shopee;End User;midhaasyafii;TULUNGAGUNG;JAWA TIMUR;DKS Cendana;Dks Cendana;Dupa Stik;1;18200;18200;0;18200;18200;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
12/02/2023;Shopee;End User;midhaasyafii;TULUNGAGUNG;JAWA TIMUR;DKS Melati;Dks Melati;Dupa Stik;1;18200;18200;0;18200;18200;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
14/02/2023;Shopee;End User;budiartialdi;KEDIRI;JAWA TIMUR;DKS Sakura;Dks Sakura;Dupa Stik;1;20000;20000;0;20000;20000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
14/02/2023;Shopee;End User;dhaniehafidz;BANDUNG;JAWA BARAT;DKS Lemontea;Dks Lemontea;Dupa Stik;1;20000;20000;0;20000;20000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
15/02/2023;Shopee;End User;a2dpv_386f;BOYOLALI;JAWA TENGAH;DKS Sakura;Dks Sakura;Dupa Stik;1;20000;20000;0;20000;20000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
15/02/2023;Shopee;End User;a2dpv_386f;BOYOLALI;JAWA TENGAH;DKS Lemontea;Dks Lemontea;Dupa Stik;1;20000;20000;0;20000;20000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
15/02/2023;Shopee;End User;a2dpv_386f;BOYOLALI;JAWA TENGAH;DKS Vanilla;Dks Vanilla;Dupa Stik;1;20000;20000;0;20000;20000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
16/02/2023;Shopee;End User;mekel.69;JAKARTA PUSAT;DKI JAKARTA;DKK Melati;Dkk Melati;Dupa Kerucut;1;30000;30000;0;30000;30000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
16/02/2023;Shopee;End User;mekel.69;JAKARTA PUSAT;DKI JAKARTA;DKS Melati;Dks Melati;Dupa Stik;2;18200;18200;0;36400;36400;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
19/02/2023;Shopee;End User;midhaasyafii;TULUNGAGUNG;JAWA TIMUR;DKK Gaharu;Dkk Gaharu;Dupa Kerucut;2;25500;25500;0;51000;51000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
19/02/2023;Shopee;End User;cinantyactriza;GROBOGAN;JAWA TENGAH;DKS Baccarat;Dks Baccarat;Dupa Stik;1;9900;9900;0;9900;9900;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
21/02/2023;Shopee;End User;putriservia;KOTA BALIKPAPAN;KALIMANTAN TIMUR;DKS Gaharu;Dks Gaharu;Dupa Stik;1;25000;25000;0;25000;25000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
21/02/2023;Shopee;End User;putriservia;KOTA BALIKPAPAN;KALIMANTAN TIMUR;DKS Cendana;Dks Cendana;Dupa Stik;1;25000;25000;0;25000;25000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
25/02/2023;Shopee;End User;anggietwaps;TANGERANG;BANTEN;DKK Vanilla;Dkk Vanilla;Dupa Kerucut;1;25500;25500;0;25500;25500;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
26/02/2023;Shopee;End User;antikhawulan01;JAKARTA BARAT;DKI JAKARTA;DKS Gaharu;Dks Gaharu;Dupa Stik;1;19250;19250;0;19250;19250;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
26/02/2023;Shopee;End User;antikhawulan01;JAKARTA BARAT;DKI JAKARTA;DKS Cendana;Dks Cendana;Dupa Stik;1;25000;25000;0;25000;25000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
27/02/2023;Shopee;End User;yuliriyani10;TANGERANG SELATAN;BANTEN;DKS Gaharu;Dks Gaharu;Dupa Stik;1;19250;19250;0;19250;19250;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
27/02/2023;Shopee;End User;id7857_27976;JAKARTA BARAT;DKI JAKARTA;DKS Vanilla;Dks Vanilla;Dupa Stik;1;19250;19250;0;19250;19250;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
28/02/2023;Shopee;End User;romlahnyong;SITUBONDO;JAWA TIMUR;DKS Baccarat;Dks Baccarat;Dupa Stik;1;25000;25000;0;25000;25000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
28/02/2023;Shopee;End User;romlahnyong;SITUBONDO;JAWA TIMUR;DKS Vanilla;Dks Vanilla;Dupa Stik;1;25000;25000;0;25000;25000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
28/02/2023;Shopee;End User;whoomskyb00msky;JEMBER;JAWA TIMUR;DKS Blue Flower;Dks Blue Flower;Dupa Stik;1;25000;25000;0;25000;25000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
02/03/2023;Shopee;End User;add4fpx165mamov2xaepw3fsi3zv;MALANG;JAWA TIMUR;DKS Melati;Dks Melati;Dupa Stik;1;20000;20000;0;20000;20000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
02/03/2023;Shopee;End User;add4fpx165mamov2xaepw3fsi3zv;MALANG;JAWA TIMUR;DKS Baccarat;Dks Baccarat;Dupa Stik;1;25000;25000;0;25000;25000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
02/03/2023;Shopee;End User;add4fpx165mamov2xaepw3fsi3zv;MALANG;JAWA TIMUR;DKS Vanilla;Dks Vanilla;Dupa Stik;1;25000;25000;0;25000;25000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
02/03/2023;Shopee;End User;qnun.t;JAKARTA SELATAN;DKI JAKARTA;DKS Gaharu;Dks Gaharu;Dupa Stik;1;25000;25000;0;25000;25000;"NaN_in_key_cols;TotalPenjualan_Mismatch";TRUE;;;1;2023
